pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
e1---h5	0	1	1	0	0	0	0	0	0	0	0	0	0
e1---h6	1	1	4	2	1	1	0	0	0	0	0	0	0
e1---h7	0	2	7	4	3	2	1	1	0	0	0	0	0
e1---h8	2	2	5	2	2	0	1	0	0	1	0	0	0
e1---h9	0	3	0	2	0	0	0	0	0	0	0	0	0
e1---l1	1	4	2	0	0	0	0	0	0	0	0	0	0
e1---w2	2	5	7	4	3	3	1	0	0	0	0	0	0
e2---h5	0	1	0	0	0	0	0	0	0	0	0	0	0
e2---h6	0	1	1	0	0	1	0	0	0	0	0	0	0
e2---h7	0	0	4	0	1	0	1	0	0	0	0	0	0
e2---h8	2	1	3	3	2	0	0	0	0	0	0	0	0
e2---h9	0	1	0	1	2	1	1	0	0	0	0	0	0
e2---l0.5	2	0	2	0	0	0	0	0	0	0	0	0	0
e2---l1	2	1	0	0	0	0	0	0	0	0	0	0	0
e3---h10	0	1	0	0	0	0	0	0	0	0	0	0	0
e3---h5	0	0	0	1	1	0	0	0	0	0	0	0	0
e3---h6	1	6	4	1	1	0	0	0	0	1	0	0	0
e3---h7	2	2	1	3	1	1	0	0	0	0	0	0	0
e3---h8	1	1	1	2	0	0	1	0	0	0	0	0	0
e3---h9	0	1	1	0	1	0	0	0	0	0	0	0	0
e3---l3	0	3	0	0	0	0	0	0	0	0	0	0	1
e3---s1	0	2	2	0	0	0	0	0	0	0	0	0	0
e4---h10	0	0	0	1	0	0	0	0	0	0	0	0	0
e4---h7	0	2	0	0	0	0	0	0	0	0	0	0	0
e4---h8	1	1	0	0	0	0	0	0	0	0	0	0	0
e4---h9	0	0	1	0	0	0	0	0	0	0	0	0	0
e4---l0.5	2	17	4	1	1	0	0	0	0	0	0	0	0
e4---s1	4	16	5	0	0	0	0	0	0	0	0	0	0
e6---s0.5	0	0	1	0	0	1	0	0	0	0	0	0	0
e7---h6	0	3	0	0	0	0	0	0	0	0	0	0	0
e7---h7	0	3	3	0	0	0	0	0	0	0	0	0	0
e7---h8	1	1	3	0	0	0	0	0	0	0	0	0	0
e7---s5	1	1	0	1	0	0	0	0	0	0	0	0	0
h0.5---l2	4	8	2	1	2	0	0	0	0	0	0	0	0
h0.5---l3	11	14	6	1	0	0	0	0	0	0	0	0	0
h0.5---w8	5	12	8	3	2	1	0	1	0	0	0	0	0
h1---l2	0	3	0	0	0	0	0	0	0	0	0	0	0
h1---s0.5	5	17	1	2	0	0	0	0	0	0	0	0	0
h1---w0.5	4	5	3	4	2	0	1	1	0	1	0	0	0
h1---w3	14	10	8	6	4	4	2	2	0	0	0	0	0
h10---e4	0	0	0	1	0	0	0	0	0	0	0	0	0
h10---h0.5	2	0	0	0	0	0	0	0	0	0	0	0	0
h10---h10	18	0	0	0	0	0	0	0	0	0	0	0	0
h10---h2	1	0	0	0	0	0	0	0	0	0	0	0	0
h10---h3	4	0	0	0	0	0	0	0	0	0	0	0	0
h10---h4	2	0	0	0	0	0	0	0	0	0	0	0	0
h10---h5	3	0	0	0	0	0	0	0	0	0	0	0	0
h10---h6	3	0	0	0	0	0	0	0	0	0	0	0	0
h10---h7	2	0	0	0	0	0	0	0	0	0	0	0	0
h10---h8	2	0	0	0	0	0	0	0	0	0	0	0	0
h10---l0.5	1	2	0	0	0	0	0	0	0	0	0	0	0
h10---l1	5	14	7	1	1	0	0	0	0	0	0	0	0
h10---l10	0	1	0	0	0	0	0	0	0	0	0	0	0
h10---l12	0	1	0	0	0	0	0	0	0	0	0	0	0
h10---l2	2	14	6	2	0	0	0	0	0	0	0	0	0
h10---l3	1	9	3	0	1	0	0	0	0	0	0	0	0
h10---l4	3	2	3	0	0	0	0	0	0	0	0	0	0
h10---l5	0	2	2	0	0	0	0	0	0	0	0	0	0
h10---s0.5	5	12	3	1	0	0	0	0	0	0	0	0	0
h10---s1	0	2	6	1	0	0	1	0	0	0	0	0	0
h10---s2	1	3	0	0	0	0	0	0	0	0	0	0	0
h10---s4	1	1	1	0	0	0	0	0	0	0	0	0	0
h10---w0.5	1	3	3	4	2	0	0	2	0	0	0	0	0
h10---w1	0	1	0	0	0	0	0	0	0	0	0	0	0
h10---w11	0	1	0	0	0	0	0	0	0	0	0	0	0
h10---w3	0	0	3	1	0	0	0	0	0	0	0	0	0
h10---w4	0	3	1	3	1	0	0	0	0	0	0	0	0
h10---w5	1	1	0	0	0	0	0	0	0	0	0	0	0
h10---w6	1	0	0	1	0	0	0	0	0	0	0	0	0
h10---w7	0	0	0	1	0	0	0	0	0	0	0	0	0
h10---w9	0	0	1	0	1	0	0	0	0	0	0	0	0
h11---l1	1	2	2	1	0	0	0	0	0	0	0	0	0
h11---l2	1	0	0	0	0	0	0	0	0	0	0	0	0
h11---l3	1	1	0	1	0	0	0	0	0	0	0	0	0
h11---s0.5	0	2	0	0	0	0	0	0	0	0	0	0	0
h11---s1	0	2	0	0	0	0	0	0	0	0	0	0	0
h11---w0.5	5	16	12	4	3	5	1	0	0	0	0	0	0
h2---l2	6	5	4	0	1	0	0	0	0	0	0	0	0
h2---l3	1	1	0	0	0	0	0	0	0	0	0	0	0
h2---l4	8	32	11	1	0	0	0	0	0	0	0	0	0
h2---l6	1	1	1	0	0	0	0	0	0	0	0	0	0
h2---s1	1	1	1	0	0	0	0	0	0	0	0	0	0
h2---w0.5	2	10	6	4	3	0	1	0	0	0	0	0	0
h2---w4	1	6	6	3	4	0	0	0	0	0	0	0	0
h2---w5	5	3	3	1	3	1	0	0	0	0	0	0	0
h2---w9	4	13	10	10	3	4	0	0	0	0	0	0	0
h3---l2	4	11	7	2	0	0	0	0	0	0	0	0	0
h3---l4	5	14	12	0	0	0	0	0	0	0	0	0	1
h3---s0.5	7	12	6	2	1	0	0	0	0	0	0	0	0
h3---w0.5	4	7	9	6	1	1	0	0	0	0	0	0	0
h3---w3	3	9	7	2	3	0	0	0	0	0	0	0	0
h3---w4	4	12	9	11	4	1	1	1	0	0	0	0	0
h3---w5	2	9	6	4	0	1	0	0	0	0	0	0	0
h3---w6	5	4	6	1	2	0	0	0	0	0	0	0	0
h4---h3	1	0	0	0	0	0	0	0	0	0	0	0	0
h4---h4	1	0	0	0	0	0	0	0	0	0	0	0	0
h4---l1	1	1	0	1	0	0	1	0	0	0	0	0	0
h4---l2	4	9	4	3	0	1	0	0	0	1	0	0	0
h4---l3	2	4	1	0	0	0	0	0	0	0	0	0	0
h4---l4	7	6	3	2	0	0	0	0	0	0	0	0	0
h4---s0.5	11	7	5	2	0	1	1	0	0	0	0	0	0
h4---w0.5	0	1	0	0	1	0	0	0	0	0	0	0	0
h4---w3	3	6	3	2	4	0	0	0	0	0	0	0	0
h4---w5	12	17	20	12	9	4	0	0	2	0	0	1	0
h4---w6	4	7	4	4	0	0	0	0	0	0	0	0	0
h4---w7	1	0	0	0	0	0	0	0	0	0	0	0	0
h5---e2	0	1	0	0	0	0	0	0	0	0	0	0	0
h5---e3	0	2	2	0	0	0	0	0	0	0	0	0	0
h5---h1	3	0	0	0	0	0	0	0	0	0	0	0	0
h5---h3	1	0	0	0	0	0	0	0	0	0	0	0	0
h5---h4	3	0	0	0	0	0	0	0	0	0	0	0	0
h5---h5	35	0	0	0	0	0	0	0	0	0	0	0	0
h5---h7	1	0	0	0	0	0	0	0	0	0	0	0	0
h5---h8	1	0	0	0	0	0	0	0	0	0	0	0	0
h5---l0.5	0	3	3	0	0	0	0	0	0	0	0	0	0
h5---l1	6	20	11	4	2	0	0	0	0	0	0	0	0
h5---l2	3	6	5	1	1	0	0	0	0	0	0	0	0
h5---l3	1	11	5	2	0	0	0	0	0	0	0	0	0
h5---l4	1	4	0	0	0	0	0	0	0	0	0	0	0
h5---l5	0	3	0	1	0	0	0	0	0	0	0	0	0
h5---l7	0	1	0	0	0	0	0	0	0	0	0	0	0
h5---l8	0	1	0	0	0	0	0	0	0	0	0	0	0
h5---s0.5	9	19	6	0	2	0	0	0	0	0	0	0	0
h5---s1	9	23	14	1	2	0	0	0	0	0	0	0	0
h5---s2	9	10	2	0	0	0	0	0	0	0	0	0	0
h5---s3	0	0	0	1	0	0	0	0	0	0	0	0	0
h5---s4	0	0	0	0	0	0	1	0	0	0	0	0	0
h5---w0.5	7	22	20	13	5	2	0	0	0	0	0	0	0
h5---w1	3	8	14	5	5	1	0	0	0	0	0	0	1
h5---w10	1	1	0	0	0	0	0	0	0	0	0	0	0
h5---w11	0	1	2	0	0	0	0	0	0	0	0	0	0
h5---w2	0	1	1	0	1	0	0	0	0	0	0	0	0
h5---w3	0	1	0	0	0	0	0	0	0	0	0	1	0
h5---w4	5	10	7	2	0	2	1	0	1	1	0	0	0
h5---w5	3	2	9	0	3	1	0	0	0	0	0	0	0
h5---w6	3	11	8	2	2	0	1	0	0	0	1	0	0
h5---w7	0	0	1	1	0	0	0	0	0	0	0	0	0
h5---w8	1	1	1	0	0	0	0	0	0	0	0	0	0
h5---w9	0	1	0	0	0	0	0	0	0	0	0	0	0
h6---e2	0	1	0	0	0	0	0	0	0	0	0	0	0
h6---e3	1	4	3	2	0	0	0	0	0	0	0	0	0
h6---e7	0	3	0	0	0	0	0	0	0	0	0	0	0
h6---h0.5	5	0	0	0	0	0	0	0	0	0	0	0	0
h6---h1	2	0	0	0	0	0	0	0	0	0	0	0	0
h6---h11	7	0	0	0	0	0	0	0	0	0	0	0	0
h6---h2	7	0	0	0	0	0	0	0	0	0	0	0	0
h6---h3	16	0	0	0	0	0	0	0	0	0	0	0	0
h6---h4	28	0	0	0	0	0	0	0	0	0	0	0	0
h6---h5	17	0	0	0	0	0	0	0	0	0	0	0	0
h6---h6	171	0	0	0	0	0	0	0	0	0	0	0	0
h6---h7	6	0	0	0	0	0	0	0	0	0	0	0	0
h6---h8	2	0	0	0	0	0	0	0	0	0	0	0	0
h6---h9	3	0	0	0	0	0	0	0	0	0	0	0	0
h6---l0.5	4	14	13	2	2	0	0	0	0	0	0	0	0
h6---l1	40	103	50	10	1	3	0	0	0	0	0	0	0
h6---l10	0	1	0	0	0	0	0	0	0	0	0	0	0
h6---l12	1	0	0	0	0	0	0	0	0	0	0	0	0
h6---l13	0	0	1	0	0	0	0	0	0	0	0	0	0
h6---l2	16	44	30	4	3	2	0	0	0	0	1	0	0
h6---l3	9	54	18	5	1	0	0	0	0	0	0	0	0
h6---l4	3	18	7	3	2	1	0	0	0	0	0	0	0
h6---l5	5	6	4	0	1	0	0	0	0	0	0	0	0
h6---l6	2	1	0	0	0	0	0	0	0	0	0	0	0
h6---l7	1	2	2	0	0	0	0	0	0	0	0	0	0
h6---l8	0	1	0	0	0	0	0	0	0	0	0	0	0
h6---s0.5	23	75	35	10	2	1	0	0	0	0	0	0	0
h6---s1	10	47	15	3	0	0	1	0	0	0	0	0	0
h6---s2	5	7	7	4	0	1	0	0	0	0	0	0	0
h6---s3	3	0	0	0	0	0	0	0	0	0	0	0	0
h6---s4	4	2	2	2	1	0	0	0	0	0	0	0	0
h6---w0.5	7	14	15	5	3	2	0	0	0	0	0	0	1
h6---w1	1	3	1	2	3	1	0	0	0	0	0	0	0
h6---w10	0	4	1	1	1	0	0	0	0	0	0	0	0
h6---w11	4	3	5	0	1	1	0	0	0	0	0	0	0
h6---w2	0	1	2	3	0	1	0	0	0	0	0	0	0
h6---w3	1	2	7	2	2	1	0	0	1	0	0	0	0
h6---w4	7	19	25	9	7	1	1	2	1	0	1	0	0
h6---w5	3	7	6	2	0	1	0	0	0	0	0	0	0
h6---w6	3	3	4	1	2	1	1	0	0	0	0	0	0
h6---w7	4	5	12	4	2	0	0	0	0	0	0	0	0
h6---w8	4	2	3	1	0	0	1	0	0	0	0	0	0
h6---w9	1	2	3	0	1	0	0	0	0	0	0	0	0
h7---e2	0	0	1	0	0	0	0	0	0	0	0	0	0
h7---e4	0	1	1	0	0	0	0	0	0	0	0	0	0
h7---e6	0	1	0	0	0	0	0	0	0	0	0	0	0
h7---e7	0	4	3	0	0	0	0	0	0	0	0	0	0
h7---h0.5	12	0	0	0	0	0	0	0	0	0	0	0	0
h7---h1	15	0	0	0	0	0	0	0	0	0	0	0	0
h7---h11	14	0	0	0	0	0	0	0	0	0	0	0	0
h7---h2	15	0	0	0	0	0	0	0	0	0	0	0	0
h7---h3	40	0	0	0	0	0	0	0	0	0	0	0	0
h7---h4	50	0	0	0	0	0	0	0	0	0	0	0	0
h7---h5	52	0	0	0	0	0	0	0	0	0	0	0	0
h7---h6	12	0	0	0	0	0	0	0	0	0	0	0	0
h7---h7	351	0	0	0	0	0	0	0	0	0	0	0	0
h7---h8	6	0	0	0	0	0	0	0	0	0	0	0	0
h7---h9	2	0	0	0	0	0	0	0	0	0	0	0	0
h7---l0.5	22	52	15	7	3	0	0	0	0	0	1	0	0
h7---l1	103	247	137	35	16	6	0	0	0	0	1	0	0
h7---l10	1	1	1	0	0	0	0	0	0	0	0	0	0
h7---l11	1	0	0	0	0	0	0	0	0	0	0	0	0
h7---l12	2	3	1	0	0	0	0	0	0	0	0	0	0
h7---l13	0	1	0	1	0	0	0	0	0	0	0	0	0
h7---l2	46	102	41	14	4	0	0	0	0	0	1	0	0
h7---l3	34	91	39	5	8	3	0	0	0	0	2	1	0
h7---l4	14	44	25	5	3	0	0	0	0	0	0	0	2
h7---l5	6	17	8	6	1	0	0	0	0	1	0	0	0
h7---l6	2	9	6	1	1	0	0	0	0	0	0	0	0
h7---l7	3	3	1	0	1	0	0	0	0	0	0	0	0
h7---l8	3	3	3	0	0	0	0	0	0	0	0	0	0
h7---s0.5	75	201	70	18	5	3	0	0	0	0	0	0	0
h7---s1	38	93	49	12	0	4	0	0	0	0	0	0	0
h7---s2	11	31	6	3	2	0	0	0	0	0	0	0	0
h7---s3	2	9	3	1	0	0	0	0	0	0	0	0	0
h7---s4	4	12	4	3	0	0	0	0	0	0	0	0	0
h7---s7	0	1	0	0	0	0	0	0	0	0	0	0	0
h7---w0.5	20	42	40	23	11	8	1	3	0	0	0	0	0
h7---w1	8	17	8	9	4	2	3	0	0	0	0	0	0
h7---w10	1	11	12	5	3	3	0	0	0	0	0	0	0
h7---w11	4	9	6	4	1	0	1	0	0	0	0	1	0
h7---w2	4	11	10	5	4	3	0	0	0	0	0	0	0
h7---w3	7	14	10	5	7	1	2	0	0	1	0	0	0
h7---w4	18	20	28	7	6	6	2	0	0	0	0	0	0
h7---w5	2	21	11	7	4	2	1	0	0	0	0	0	0
h7---w6	1	11	10	6	1	0	0	0	1	0	0	0	0
h7---w7	8	15	9	7	3	4	1	1	0	0	0	0	0
h7---w8	4	12	7	5	3	1	0	0	0	0	0	0	0
h7---w9	3	11	5	3	2	1	0	0	0	1	0	0	0
h8---e2	1	1	1	0	0	0	0	0	0	0	0	0	0
h8---e4	1	1	0	0	0	0	0	0	0	0	0	0	0
h8---e7	0	4	3	0	0	0	0	0	0	0	0	0	0
h8---h0.5	8	0	0	0	0	0	0	0	0	0	0	0	0
h8---h1	7	0	0	0	0	0	0	0	0	0	0	0	0
h8---h11	18	0	0	0	0	0	0	0	0	0	0	0	0
h8---h2	15	0	0	0	0	0	0	0	0	0	0	0	0
h8---h3	43	0	0	0	0	0	0	0	0	0	0	0	0
h8---h4	41	0	0	0	0	0	0	0	0	0	0	0	0
h8---h5	43	0	0	0	0	0	0	0	0	0	0	0	0
h8---h6	12	0	0	0	0	0	0	0	0	0	0	0	0
h8---h7	14	0	0	0	0	0	0	0	0	0	0	0	0
h8---h8	374	0	0	0	0	0	0	0	0	0	0	0	0
h8---h9	3	0	0	0	0	0	0	0	0	0	0	0	0
h8---l0.5	22	39	27	2	3	0	0	0	0	0	1	0	0
h8---l1	88	255	123	38	15	4	1	0	0	0	5	0	0
h8---l11	0	0	1	0	0	0	0	0	0	0	0	0	0
h8---l12	1	2	2	2	0	0	0	0	0	0	0	0	0
h8---l2	41	107	53	11	6	2	1	0	0	0	0	0	1
h8---l3	34	101	50	12	7	2	0	0	0	0	1	0	0
h8---l4	17	40	21	1	2	2	0	0	0	0	0	0	0
h8---l5	6	9	8	3	2	0	1	0	0	0	1	0	0
h8---l6	2	12	2	1	0	0	0	0	0	0	0	0	0
h8---l7	2	2	3	0	0	0	0	0	0	0	0	0	0
h8---l8	1	4	2	0	0	0	0	0	0	0	0	0	0
h8---s0.5	70	209	100	18	9	4	0	0	0	0	0	0	0
h8---s1	56	89	49	9	1	1	0	0	0	0	0	0	0
h8---s2	17	18	17	0	1	0	0	0	0	0	0	0	0
h8---s3	2	8	3	1	0	1	0	0	0	0	0	0	0
h8---s4	2	9	3	0	0	0	0	0	0	0	0	0	0
h8---s7	1	1	0	0	0	0	0	0	0	0	0	0	0
h8---w0.5	24	43	37	31	11	5	3	3	0	0	0	0	0
h8---w1	4	6	4	2	0	1	0	0	0	0	0	0	0
h8---w10	4	6	5	6	2	2	1	0	0	0	0	0	0
h8---w11	3	5	7	2	1	1	0	0	0	0	0	0	0
h8---w2	7	15	16	4	2	3	1	1	0	0	0	0	0
h8---w3	3	14	8	5	2	2	0	0	0	0	0	0	0
h8---w4	9	21	25	14	9	8	2	1	0	0	0	0	1
h8---w5	5	15	13	7	4	4	0	0	0	0	0	0	0
h8---w6	1	6	8	6	6	1	1	1	0	0	1	0	0
h8---w7	8	9	10	4	2	3	0	0	1	0	0	0	0
h8---w8	6	8	6	3	1	0	0	1	0	1	0	0	0
h8---w9	3	5	4	5	1	1	0	0	0	0	0	0	0
h9---e2	0	1	0	0	0	0	0	0	0	0	0	0	0
h9---e4	0	0	1	0	0	0	0	0	0	0	0	0	0
