time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	0	0	0	0	0	0	0	0
03:50:00	13800	2	0	0	2	2	0	0	2
03:55:00	14100	0	0	0	2	0	0	0	2
04:00:00	14400	0	1	0	1	0	1	0	1
04:05:00	14700	0	0	0	1	0	0	0	1
04:10:00	15000	0	0	0	1	0	0	0	1
04:15:00	15300	0	0	0	1	0	0	0	1
04:20:00	15600	1	1	0	1	1	1	0	1
04:25:00	15900	1	2	0	0	1	2	0	0
04:30:00	16200	3	1	0	2	3	1	0	2
04:35:00	16500	3	0	0	5	3	0	0	5
04:40:00	16800	2	4	0	3	2	4	0	3
04:45:00	17100	3	0	0	6	3	0	0	6
04:50:00	17400	3	5	0	4	3	5	0	4
04:55:00	17700	7	3	0	8	7	3	0	8
05:00:00	18000	9	3	0	14	9	3	0	14
05:05:00	18300	11	6	0	19	11	6	0	19
05:10:00	18600	19	13	0	25	19	13	0	25
05:15:00	18900	14	14	0	25	14	14	0	25
05:20:00	19200	19	12	0	32	19	12	0	32
05:25:00	19500	21	25	0	28	21	25	0	28
05:30:00	19800	33	17	0	44	33	17	0	44
05:35:00	20100	33	23	0	54	33	23	0	54
05:40:00	20400	26	27	0	53	26	27	0	53
05:45:00	20700	32	21	0	64	32	21	0	64
05:50:00	21000	55	49	0	70	55	49	0	70
05:55:00	21300	68	43	0	95	68	43	0	95
06:00:00	21600	74	60	0	109	74	60	0	109
06:05:00	21900	83	78	0	114	83	78	0	114
06:10:00	22200	108	72	0	150	108	72	0	150
06:15:00	22500	112	94	0	168	112	94	0	168
06:20:00	22800	122	98	0	192	122	98	0	192
06:25:00	23100	150	120	0	222	150	120	0	222
06:30:00	23400	149	134	0	237	149	134	0	237
06:35:00	23700	154	147	0	244	154	147	0	244
06:40:00	24000	202	155	0	291	202	155	0	291
06:45:00	24300	181	169	0	303	181	169	0	303
06:50:00	24600	228	192	0	339	228	192	0	339
06:55:00	24900	203	197	0	345	203	197	0	345
07:00:00	25200	240	216	0	369	240	216	0	369
07:05:00	25500	259	226	0	402	259	226	0	402
07:10:00	25800	281	251	0	432	281	251	0	432
07:15:00	26100	296	259	0	469	296	259	0	469
07:20:00	26400	317	267	0	519	317	267	0	519
07:25:00	26700	348	318	0	549	348	318	0	549
07:30:00	27000	313	292	0	570	313	292	0	570
07:35:00	27300	327	345	0	552	327	345	0	552
07:40:00	27600	397	319	0	630	397	319	0	630
07:45:00	27900	408	360	0	678	408	360	0	678
07:50:00	28200	413	376	0	715	413	376	0	715
07:55:00	28500	367	388	0	694	367	388	0	694
08:00:00	28800	415	412	0	697	415	412	0	697
08:05:00	29100	420	384	0	733	420	384	0	733
08:10:00	29400	411	416	0	728	411	416	0	728
08:15:00	29700	412	412	0	728	412	412	0	728
08:20:00	30000	356	367	0	717	356	367	0	717
08:25:00	30300	366	377	0	706	366	377	0	706
08:30:00	30600	361	384	0	683	361	384	0	683
08:35:00	30900	364	365	0	682	364	365	0	682
08:40:00	31200	343	367	0	658	343	367	0	658
08:45:00	31500	333	344	0	647	333	344	0	647
08:50:00	31800	320	369	0	598	320	369	0	598
08:55:00	32100	341	318	0	621	341	318	0	621
09:00:00	32400	299	309	0	611	299	309	0	611
09:05:00	32700	331	328	0	614	331	328	0	614
09:10:00	33000	312	292	0	634	312	292	0	634
09:15:00	33300	287	279	0	642	287	279	0	642
09:20:00	33600	244	313	0	573	244	313	0	573
09:25:00	33900	277	283	0	567	277	283	0	567
09:30:00	34200	253	274	0	546	253	274	0	546
