ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	208.7629469738099	208.7629469738099	208.7629469738099	208.7629469738099
1	208.49344876827288	208.2545315001605	208.62821231554273	209.00189313092474
2	208.87656311430692	207.85900643558722	208.59001284511083	209.32475971780582
3	209.07844371352002	207.46612591581368	208.53695273822748	209.58845222564136
4	209.27100725846202	207.13199628832962	208.49846226414977	209.8566385890238
5	209.5506496899534	206.82688030959136	208.46708953270468	210.07899613942845
6	209.71876113223334	206.4645722135673	208.43067920657805	210.3611831422648
7	209.7652231709471	205.9964425610648	208.36469399568588	210.63653008196866
8	210.07540863847086	205.66732191989536	208.33913966421497	210.91021600512767
9	210.35579868078196	205.31391475324494	208.31211388646105	211.1990176644293
10	210.56509830177868	205.03468714521605	208.2794353339943	211.37715242891665
11	210.66396002298742	204.77538117981325	208.25641048190263	211.56825815421152
12	210.75329350374372	204.49581450341395	208.21970891158745	211.80789881217984
13	211.05240208904797	204.2800377282332	208.21575209705637	211.96647404274526
14	211.10889826490364	204.0861918672483	208.23741777110266	212.1617668049487
15	211.34323567345038	204.02499495715625	208.27567692107516	212.34762116768903
16	211.42438863415927	203.84661988518437	208.29540501149654	212.50941239176265
17	211.49741348731885	203.80320258437297	208.33356114148657	212.64582865185903
18	211.6915306127025	203.757828359754	208.3793776119685	212.81115585848875
19	211.90141581359492	203.7458120267956	208.4315718781503	212.9585066008003
20	212.10866683459201	203.69003846199894	208.5041589773244	213.1286938814775
21	212.14471575471094	203.7630413655714	208.57883854125507	213.24770903909365
22	212.40249701578907	203.83468514207402	208.6693354074721	213.44459649920645
23	212.40372512540816	203.88440679401293	208.76486191473444	213.5814777554329
24	212.58884531322397	204.0675307977535	208.88048695121927	213.74179567915107
25	212.73267578212952	204.08843451122533	208.97354057735316	213.92015679351906
26	213.0152065369801	204.32920760084724	209.11280629013748	214.10344031669948
27	213.09101701091382	204.53046706835053	209.24683191153645	214.30945490114632
28	213.37417748428072	204.64278497126946	209.3904202815693	214.50055889240065
29	213.47071677902545	204.70329864904113	209.50594240830318	214.62784786773324
30	213.5663917755897	204.9416763712568	209.65971265649378	214.7596673393312
31	213.77977685097332	205.16960809168594	209.8204447906655	214.90256816047633
32	213.84609302834824	205.320745687909	209.9566261008008	215.0471261068369
33	213.95189087470501	205.5080209977198	210.12129001286237	215.208496193278
