Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	15:42:28	15:42:28	15:42:28			15:42:28	15:42:28	15:42:29	15:42:29	15:42:29	15:42:39	15:42:39	15:42:39	15:42:39	15:42:39	15:42:39	15:42:41	15:42:41		00:00:00		00:00:01	00:00:01	00:00:09	00:00:00	00:00:00	00:00:01	00:00:12
1	15:42:41	15:42:41	15:42:41	15:42:41	15:42:42	15:42:42	15:42:42	15:42:43	15:42:43	15:42:43	15:42:48	15:42:48	15:42:48	15:42:48	15:42:48	15:42:48	15:42:49	15:42:49		00:00:00	00:00:00	00:00:01	00:00:01	00:00:04	00:00:00	00:00:00	00:00:00	00:00:07
2	15:42:49	15:42:49	15:42:49	15:42:49	15:42:50	15:42:50	15:42:50	15:42:51	15:42:51	15:42:51	15:42:54	15:42:54	15:42:54	15:42:54	15:42:55	15:42:55	15:42:55	15:42:55		00:00:00	00:00:00	00:00:01	00:00:01	00:00:03	00:00:00	00:00:00	00:00:00	00:00:06
3	15:42:56	15:42:56	15:42:56	15:42:56	15:42:56	15:42:56	15:42:56	15:42:58	15:42:58	15:42:58	15:43:01	15:43:01	15:43:01	15:43:01	15:43:01	15:43:01	15:43:02	15:43:02		00:00:00	00:00:00	00:00:01	00:00:01	00:00:03	00:00:00	00:00:00	00:00:00	00:00:06
4	15:43:02	15:43:02	15:43:02	15:43:02	15:43:03	15:43:03	15:43:03	15:43:04	15:43:04	15:43:04	15:43:08	15:43:08	15:43:08	15:43:08	15:43:08	15:43:08	15:43:08	15:43:08		00:00:00	00:00:00	00:00:01	00:00:01	00:00:03	00:00:00	00:00:00	00:00:00	00:00:06
5	15:43:08	15:43:08	15:43:08	15:43:08	15:43:09	15:43:09	15:43:09	15:43:10	15:43:10	15:43:10	15:43:14	15:43:14	15:43:14	15:43:14	15:43:14	15:43:14	15:43:14	15:43:14		00:00:00	00:00:00	00:00:01	00:00:01	00:00:03	00:00:00	00:00:00	00:00:00	00:00:06
6	15:43:15	15:43:15	15:43:15	15:43:15	15:43:15	15:43:15	15:43:15	15:43:17	15:43:17	15:43:17	15:43:20	15:43:20	15:43:20	15:43:20	15:43:20	15:43:20	15:43:21	15:43:21		00:00:00	00:00:00	00:00:01	00:00:01	00:00:03	00:00:00	00:00:00	00:00:00	00:00:06
7	15:43:21	15:43:21	15:43:21	15:43:21	15:43:22	15:43:22	15:43:22	15:43:23	15:43:23	15:43:23	15:43:27	15:43:27	15:43:27	15:43:27	15:43:27	15:43:27	15:43:28	15:43:28		00:00:00	00:00:00	00:00:01	00:00:01	00:00:03	00:00:00	00:00:00	00:00:00	00:00:06
8	15:43:28	15:43:28	15:43:28	15:43:28	15:43:28	15:43:28	15:43:28	15:43:30	15:43:30	15:43:30	15:43:33	15:43:33	15:43:33	15:43:33	15:43:33	15:43:33	15:43:34	15:43:34		00:00:00	00:00:00	00:00:01	00:00:01	00:00:03	00:00:00	00:00:00	00:00:00	00:00:06
9	15:43:34	15:43:34	15:43:34	15:43:34	15:43:35	15:43:35	15:43:35	15:43:37	15:43:37	15:43:37	15:43:40	15:43:40	15:43:40	15:43:40	15:43:40	15:43:40	15:43:41	15:43:41		00:00:00	00:00:00	00:00:01	00:00:01	00:00:03	00:00:00	00:00:00	00:00:00	00:00:06
